country_1_name,country_1_id,country_2_name,country_2_id,any_wars
Canada,20,Cape Verde,402,No
Canada,20,Guinea-Bissau,404,No
Canada,20,Equatorial Guinea,411,No
Canada,20,Gambia,420,No
Canada,20,Mali,432,No
Canada,20,Senegal,433,No
Canada,20,Benin,434,No
Canada,20,Mauritania,435,No
Canada,20,Niger,436,No
Canada,20,Côte d’Ivoire,437,No
Canada,20,Guinea,438,No
Canada,20,Burkina Faso,439,No
Canada,20,Liberia,450,No
Canada,20,Sierra Leone,451,No
Canada,20,Ghana,452,No
Canada,20,Togo,461,No
Canada,20,Cameroon,471,No
Canada,20,Nigeria,475,No
Canada,20,Gabon,481,No
Canada,20,Central African Republic,482,No
Canada,20,Chad,483,No
Canada,20,Congo - Brazzaville,484,No
Canada,20,Congo - Kinshasa,490,No
Canada,20,Uganda,500,No
Canada,20,Kenya,501,No
Canada,20,Tanzania,510,No
Canada,20,Burundi,516,No
Canada,20,Rwanda,517,No
Canada,20,Somalia,520,No
Canada,20,Djibouti,522,No
Canada,20,Ethiopia,530,No
Canada,20,Angola,540,No
Canada,20,Mozambique,541,No
Canada,20,Zambia,551,No
Canada,20,Zimbabwe,552,No
Canada,20,Malawi,553,No
Canada,20,South Africa,560,No
Canada,20,Lesotho,570,No
Canada,20,Botswana,571,No
Canada,20,Eswatini,572,No
Canada,20,Madagascar,580,No
Canada,20,Comoros,581,No
Canada,20,Mauritius,590,No
Canada,20,Morocco,600,No
Canada,20,Algeria,615,No
Canada,20,Tunisia,616,No
Canada,20,Libya,620,No
Canada,20,Sudan,625,No
Canada,20,Iran,630,No
Canada,20,Turkey,640,No
Canada,20,Iraq,645,Yes
Canada,20,Egypt,651,No
Canada,20,Syria,652,No
Canada,20,Lebanon,660,No
Canada,20,Jordan,663,No
Canada,20,Israel,666,No
Canada,20,Saudi Arabia,670,No
Canada,20,Kuwait,690,No
Canada,20,Bahrain,692,No
Canada,20,Qatar,694,No
Canada,20,United Arab Emirates,696,No
Canada,20,Oman,698,No
Canada,20,Afghanistan,700,No
Canada,20,China,710,No
Canada,20,Mongolia,712,No
Canada,20,Taiwan,713,No
Canada,20,North Korea,731,No
Canada,20,South Korea,732,No
Canada,20,Japan,740,No
Canada,20,India,750,No
Canada,20,Bhutan,760,No
Canada,20,Pakistan,770,No
Canada,20,Bangladesh,771,No
Canada,20,Myanmar (Burma),775,No
Canada,20,Sri Lanka,780,No
Canada,20,Nepal,790,No
Canada,20,Thailand,800,No
Canada,20,Cambodia,811,No
Canada,20,Laos,812,No
Canada,20,Vietnam,816,No
Canada,20,Malaysia,820,No
Canada,20,Singapore,830,No
Canada,20,Philippines,840,No
Canada,20,Indonesia,850,No
Canada,20,Australia,900,No
Canada,20,Papua New Guinea,910,No
Canada,20,New Zealand,920,No
Canada,20,Solomon Islands,940,No
Canada,20,Fiji,950,No
Cuba,40,Haiti,41,No
Cuba,40,Dominican Republic,42,No
Cuba,40,Jamaica,51,No
Cuba,40,Trinidad & Tobago,52,No
Cuba,40,Mexico,70,No
Cuba,40,Guatemala,90,No
Cuba,40,Honduras,91,No
Cuba,40,El Salvador,92,No
Cuba,40,Nicaragua,93,No
Cuba,40,Costa Rica,94,No
Cuba,40,Panama,95,No
Cuba,40,Colombia,100,No
Cuba,40,Venezuela,101,No
Cuba,40,Guyana,110,No
Cuba,40,Suriname,115,No
Cuba,40,Ecuador,130,No
Cuba,40,Peru,135,No
Cuba,40,Brazil,140,No
Cuba,40,Bolivia,145,No
Cuba,40,Paraguay,150,No
Cuba,40,Chile,155,No
Cuba,40,Argentina,160,No
Cuba,40,Uruguay,165,No
Cuba,40,United Kingdom,200,No
Cuba,40,Ireland,205,No
Cuba,40,Netherlands,210,No
Cuba,40,Belgium,211,No
Cuba,40,Luxembourg,212,No
Cuba,40,France,220,No
Cuba,40,Switzerland,225,No
Cuba,40,Spain,230,No
Cuba,40,Portugal,235,No
Cuba,40,Poland,290,No
Cuba,40,Austria,305,No
Cuba,40,Hungary,310,No
Cuba,40,Italy,325,No
Cuba,40,Albania,339,No
Cuba,40,Yugoslavia,345,No
Cuba,40,Greece,350,No
Cuba,40,Cyprus,352,No
Cuba,40,Bulgaria,355,No
Cuba,40,Romania,360,No
Cuba,40,Russia,365,No
Cuba,40,Finland,375,No
Cuba,40,Sweden,380,No
Cuba,40,Norway,385,No
Cuba,40,Denmark,390,No
Cuba,40,Cape Verde,402,No
Cuba,40,Guinea-Bissau,404,No
Cuba,40,Equatorial Guinea,411,No
Cuba,40,Gambia,420,No
Cuba,40,Mali,432,No
Cuba,40,Senegal,433,No
Cuba,40,Benin,434,No
Cuba,40,Mauritania,435,No
Cuba,40,Niger,436,No
Cuba,40,Côte d’Ivoire,437,No
Cuba,40,Guinea,438,No
Cuba,40,Burkina Faso,439,No
Cuba,40,Liberia,450,No
Cuba,40,Sierra Leone,451,No
Cuba,40,Ghana,452,No
Cuba,40,Togo,461,No
Cuba,40,Cameroon,471,No
Cuba,40,Nigeria,475,No
Cuba,40,Gabon,481,No
Cuba,40,Central African Republic,482,No
Cuba,40,Chad,483,No
Cuba,40,Congo - Brazzaville,484,No
Cuba,40,Congo - Kinshasa,490,No
Cuba,40,Uganda,500,No
Cuba,40,Kenya,501,No
Cuba,40,Tanzania,510,No
Cuba,40,Burundi,516,No
Cuba,40,Rwanda,517,No
Cuba,40,Somalia,520,No
Cuba,40,Djibouti,522,No
Cuba,40,Ethiopia,530,No
Cuba,40,Angola,540,No
Cuba,40,Mozambique,541,No
Cuba,40,Zambia,551,No
Cuba,40,Zimbabwe,552,No
Cuba,40,Malawi,553,No
Cuba,40,South Africa,560,No
Cuba,40,Lesotho,570,No
Cuba,40,Botswana,571,No
Cuba,40,Eswatini,572,No
Cuba,40,Madagascar,580,No
Cuba,40,Comoros,581,No
Cuba,40,Mauritius,590,No
Cuba,40,Morocco,600,No
Cuba,40,Algeria,615,No
Cuba,40,Tunisia,616,No
Cuba,40,Libya,620,No
Cuba,40,Sudan,625,No
Cuba,40,Iran,630,No
Cuba,40,Turkey,640,No
Cuba,40,Iraq,645,No
Cuba,40,Egypt,651,No
Cuba,40,Syria,652,No
Cuba,40,Lebanon,660,No
Cuba,40,Jordan,663,No
Cuba,40,Israel,666,No
Cuba,40,Saudi Arabia,670,No
Cuba,40,Kuwait,690,No
Cuba,40,Bahrain,692,No
Cuba,40,Qatar,694,No
Cuba,40,United Arab Emirates,696,No
Cuba,40,Oman,698,No
Cuba,40,Afghanistan,700,No
